index	name	Abeta+nvoxels	Abeta+stain	Abeta+count	Abeta+fieldfrac	Abeta+volume	Abeta+density	Iba1+nvoxels	Iba1+stain	Iba1+count	Iba1+fieldfrac	Iba1+volume	Iba1+density	coloc+object_id_a	coloc+object_id_b	coloc+stain_a	coloc+stain_b	coloc+radius_a	coloc+radius_b	coloc+nvoxels_a	coloc+nvoxels_b	coloc+distance	coloc+overlapratio	coloc+count	coloc+volume	coloc+density	participant_id	batch_id	bag_id	participant_label	sex	treatment	age	genotype	antibodies	has_mri	notes	QC_notes
20	R_Pons	17564.0	Abeta	47.0	1.843173733491433	9.315580099170417	5.045311134642652	388.0	Iba1	1.0	30.865743958784805	9.315580099170417	0.1073470454179287	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.315580099170417	0.0	sub-AS7F2	2	f	AS7F2	F	Lecanemab	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
21	L_Medulla	164964.0	Abeta	150.0	3.458414659989516	17.075389379554327	8.784572735987298	2120846.0	Iba1	2.0	23.58295318930615	17.075389379554327	0.1171276364798306	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.075389379554327	0.0	sub-AS7F2	2	f	AS7F2	F	Lecanemab	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
22	R_Medulla	224650.0	Abeta	164.0	4.089664951853318	17.325447781447668	9.46584481213891	1521553.0	Iba1	2.0	33.175460581277754	17.325447781447668	0.1154371318553525	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.325447781447668	0.0	sub-AS7F2	2	f	AS7F2	F	Lecanemab	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
23	L_Cerebellum	834827.0	Abeta	162.0	7.221414793881488	29.71962199075199	5.450944162426104	287932.0	Iba1	1.0	27.77622059454922	29.71962199075199	0.033647803471766	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.71962199075199	0.0	sub-AS7F2	2	f	AS7F2	F	Lecanemab	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
24	R_Cerebellum	72011.0	Abeta	149.0	6.432547460024483	30.02586259261375	4.962388658790887	2321590.0	Iba1	1.0	28.34787103812659	30.025862592613745	0.0333046218710797	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.025862592613745	0.0	sub-AS7F2	2	f	AS7F2	F	Lecanemab	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
0	Unknown_Label_0	1766060.0	Abeta	93.0	0.0			15093812.0	Iba1	77.0	0.0			Abeta_0	Iba1_308	Abeta	Iba1	0.0833961115629421	0.0874918629454061	956050.3846153846	1166297.0256410255	0.0460497223731517	0.7323563783604173	39.0			sub-AS7F3	1	g	AS7F3	F	N control	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 YoPro	Y		
1	L_Isocortex	4682358.0	Abeta	11.0	18.9530394026983	68.55930378238696	0.1604450365323856	6563565.0	Iba1	2.0	26.562738613866884	68.55930378238696	0.0291718248240701	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.55930378238696	0.0	sub-AS7F3	1	g	AS7F3	F	N control	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 YoPro	Y		
2	R_Isocortex	3801973.0	Abeta	10.0	20.33293328487676	67.57018487333086	0.1479942672755196	1720955.0	Iba1	5.0	28.00882360398584	67.57018487333086	0.0739971336377598	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.57018487333086	0.0	sub-AS7F3	1	g	AS7F3	F	N control	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 YoPro	Y		
3	L_Olfactory areas	2698681.0	Abeta	5.0	23.67030782273372	25.373488935141847	0.1970560695370153	3297370.0	Iba1	3.0	27.86314904982332	25.373488935141847	0.1182336417222091	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.373488935141847	0.0	sub-AS7F3	1	g	AS7F3	F	N control	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 YoPro	Y		
4	R_Olfactory areas	1868471.0	Abeta	10.0	14.916110943296854	24.57777741861865	0.4068716153489371	605965.0	Iba1	5.0	17.864310554484128	24.57777741861865	0.2034358076744685	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.57777741861865	0.0	sub-AS7F3	1	g	AS7F3	F	N control	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 YoPro	Y		
